,entity,tag
1112,handled,0
1113,OPEN4_RESULT_CONFIRM,0
1114,indicates,0
1115,that,0
1116,the,0
1117,client,0
1118,MUST,0
1119,execute,0
1120,an,0
1121,OPEN_CONFIRM,0
1122,operation,0
1123,before,0
1124,using,0
1125,the,0
1126,open,0
1127,file,0
1128,<NULL>.,0
1129,OPEN4_RESULT_LOCKTYPE_POSIX,0
1130,indicates,0
1131,that,0
1132,the,0
1133,server's,0
1134,file,0
1135,locking,0
1136,behavior,0
1137,supports,0
1138,the,0
1139,complete,0
1140,set,0
1141,of,0
1142,POSIX,0
1143,locking,0
1144,techniques,0
1145,[fcntl],0
1146,<NULL>.,0
1147,,0
1148,From,0
1149,"this,",0
1150,the,0
1151,client,0
1152,can,0
1153,choose,0
1154,to,0
1155,manage,0
1156,file,0
1157,locking,0
1158,state,0
1159,in,0
1160,such,0
1161,a,0
1162,way,0
1163,as,0
1164,to,0
1165,handle,0
1166,a,0
1167,mismatch,0
1168,of,0
1169,file,0
1170,locking,0
1171,management,0
1172,If,0
1173,the,0
1174,component,0
1175,is,0
1176,of,0
1177,zero,0
1178,"length,",0
1179,NFS4ERR_INVAL,0
1180,will,0
1181,be,0
1182,returned,0
1183,<NULL>.,0
1184,The,0
1185,component,0
1186,is,0
1187,also,0
1188,subject,0
1189,to,0
1190,the,0
1191,normal,0
1192,"UTF-8,",0
1193,character,0
1194,"support,",0
1195,and,0
1196,name,0
1197,checks,0
1198,<NULL>.,0
1199,,0
1200,See,0
1201,Section,0
1202,12.7,0
1203,for,0
1204,further,0
1205,discussion,0
1206,When,0
1207,an,0
1208,OPEN,0
1209,is,0
1210,done,0
1211,and,0
1212,the,0
1213,specified,0
1214,open-owner,0
1215,already,0
1216,has,0
1217,the,0
1218,resulting,0
1219,filehandle,0
1220,"open,",0
1221,the,0
1222,result,0
1223,is,0
1224,to,0
1225,"""OR""",0
1226,together,0
1227,the,0
1228,new,0
1229,share,0
1230,and,0
1231,deny,0
1232,"status,",0
1233,together,0
1234,with,0
1235,the,0
1236,existing,0
1237,status,0
1238,<NULL>.,0
1239,,0
1240,In,0
1241,this,0
1242,"case,",0
1243,only,0
1244,a,0
1245,single,0
1246,CLOSE,0
1247,need,0
1248,be,0
1249,"done,",0
1250,even,0
1251,though,0
1252,multiple,0
1253,OPENs,0
1254,were,0
1255,completed,0
1256,<NULL>.,0
1257,,0
1258,When,0
1259,such,0
1260,an,0
1261,OPEN,0
1262,is,0
1263,"done,",0
1264,checking,0
1265,of,0
1266,share,0
1267,reservations,0
1268,for,0
1269,the,0
1270,new,0
1271,OPEN,0
1272,proceeds,0
1273,"normally,",0
1274,with,0
1275,no,0
1276,exception,0
1277,for,0
1278,the,0
1279,existing,0
1280,OPEN,0
1281,held,0
1282,by,0
1283,the,0
1284,same,0
1285,owner,0
1286,<NULL>.,0
1287,,0
1288,In,0
1289,this,0
1290,"case,",0
1291,the,0
1292,stateid,0
1293,returned,0
1294,has,0
1295,an,0
1296,"""other""",0
1297,field,0
1298,that,0
1299,matches,0
1300,that,0
1301,of,0
1302,the,0
1303,previous,0
1304,"open,",0
1305,while,0
1306,the,0
1307,seqid,0
1308,field,0
1309,is,0
1310,incremented,0
1311,to,0
1312,reflect,0
1313,the,0
1314,changed,0
1315,status,0
1316,due,0
1317,to,0
1318,the,0
1319,new,0
1320,open,0
1321,(Section,0
1322,9.1.4),0
1323,If,0
1324,the,0
1325,underlying,0
1326,file,0
1327,system,0
1328,at,0
1329,the,0
1330,server,0
1331,is,0
1332,only,0
1333,accessible,0
1334,in,0
1335,a,0
1336,read-only,0
1337,mode,0
1338,and,0
1339,the,0
1340,OPEN,0
1341,request,0
1342,has,0
1343,specified,0
1344,OPEN4_SHARE_ACCESS_WRITE,0
1345,or,0
1346,"OPEN4_SHARE_ACCESS_BOTH,",0
1347,the,0
1348,server,0
1349,will,0
1350,return,0
1351,NFS4ERR_ROFS,0
1352,to,0
1353,indicate,0
1354,a,0
1355,read-only,0
1356,file,0
1357,system,0
1358,As,0
1359,with,0
1360,the,0
1361,CREATE,0
1362,"operation,",0
1363,the,0
1364,server,0
1365,MUST,0
1366,derive,0
1367,the,0
1368,"owner,",0
1369,owner,0
1370,"ACE,",0
1371,"group,",0
1372,or,0
1373,group,0
1374,ACE,0
1375,if,0
1376,any,0
1377,of,0
1378,the,0
1379,four,0
1380,attributes,0
1381,are,0
1382,required,0
1383,and,0
1384,supported,0
1385,by,0
1386,the,0
1387,server's,0
1388,file,0
1389,system,0
1390,<NULL>.,0
1391,,0
1392,For,0
1393,an,0
1394,OPEN,0
1395,with,0
1396,the,0
1397,EXCLUSIVE4,0
1398,"createmode,",0
1399,the,0
1400,server,0
1401,has,0
1402,no,0
1403,"choice,",0
1404,since,0
1405,such,0
1406,OPEN,0
1407,calls,0
1408,do,0
1409,not,0
1410,include,0
1411,the,0
1412,createattrs,0
1413,field,0
1414,<NULL>.,0
1415,,0
1416,"Conversely,",0
1417,if,0
1418,createattrs,0
1419,is,0
1420,specified,0
1421,and,0
1422,includes,0
1423,owner,0
1424,or,0
1425,group,0
1426,(or,0
1427,corresponding,0
1428,ACEs),0
1429,that,0
1430,the,0
1431,principal,0
1432,in,0
1433,the,0
1434,RPC's,0
1435,credentials,0
1436,does,0
1437,not,0
1438,have,0
1439,authorization,0
1440,to,0
1441,create,0
1442,files,0
1443,"for,",0
1444,then,0
1445,the,0
1446,server,0
1447,may,0
1448,return,0
1449,NFS4ERR_PERM,0
1450,In,0
1451,the,0
1452,case,0
1453,where,0
1454,an,0
1455,OPEN,0
1456,specifies,0
1457,a,0
1458,size,0
1459,of,0
1460,zero,0
1461,"(e.g.,",0
1462,truncation),0
1463,,0
1464,and,0
1465,the,0
1466,file,0
1467,has,0
1468,named,0
1469,"attributes,",0
1470,the,0
1471,named,0
1472,attributes,0
1473,are,0
1474,left,0
1475,as,0
1476,is,0
1477,<NULL>.,0
1478,,0
1479,They,0
1480,are,0
1481,not,0
1482,removed,0
1483,16.16.6.,0
1484,,0
1485,The,0
1486,OPEN,0
1487,operation,0
1488,contains,0
1489,support,0
1490,for,0
1491,EXCLUSIVE4,0
1492,create,0
1493,<NULL>.,0
1494,,0
1495,The,0
1496,mechanism,0
1497,is,0
1498,similar,0
1499,to,0
1500,the,0
1501,support,0
1502,in,0
1503,NFSv3,0
1504,[RFC1813],0
1505,<NULL>.,0
1506,,0
1507,As,0
1508,in,0
1509,"NFSv3,",0
1510,this,0
1511,mechanism,0
1512,provides,0
1513,reliable,0
1514,exclusive,0
1515,creation,0
1516,<NULL>.,0
1517,,0
1518,Exclusive,0
1519,create,0
1520,is,0
1521,invoked,0
1522,when,0
1523,the,0
1524,how,0
1525,parameter,0
1526,is,0
1527,EXCLUSIVE4,0
1528,<NULL>.,0
1529,,0
1530,In,0
1531,this,0
1532,"case,",0
1533,the,0
1534,client,0
1535,provides,0
1536,a,0
1537,verifier,0
1538,that,0
1539,can,0
1540,reasonably,0
1541,be,0
1542,expected,0
1543,to,0
1544,be,0
1545,unique,0
1546,<NULL>.,0
1547,,0
1548,A,0
1549,combination,0
1550,of,0
1551,a,0
1552,client,0
1553,"identifier,",0
1554,perhaps,0
1555,the,0
1556,client,0
1557,network,0
1558,"address,",0
1559,and,0
1560,a,0
1561,unique,0
1562,number,0
1563,generated,0
1564,by,0
1565,the,0
1566,"client,",0
1567,perhaps,0
1568,the,0
1569,RPC,0
1570,transaction,0
1571,"identifier,",0
1572,may,0
1573,be,0
1574,appropriate,0
1575,If,0
1576,the,0
1577,object,0
1578,does,0
1579,not,0
1580,"exist,",0
1581,the,0
1582,server,0
1583,creates,0
1584,the,0
1585,object,0
1586,and,0
1587,stores,0
1588,the,0
1589,verifier,0
1590,in,0
1591,stable,0
1592,storage,0
1593,<NULL>.,0
1594,,0
1595,For,0
1596,file,0
1597,systems,0
1598,that,0
1599,do,0
1600,not,0
1601,provide,0
1602,a,0
1603,mechanism,0
1604,for,0
1605,the,0
1606,storage,0
1607,of,0
1608,arbitrary,0
1609,file,0
1610,"attributes,",0
1611,the,0
1612,server,0
1613,may,0
1614,use,0
1615,one,0
1616,or,0
1617,more,0
1618,elements,0
1619,of,0
1620,the,0
1621,object,0
1622,metadata,0
1623,to,0
1624,store,0
1625,the,0
1626,verifier,0
1627,<NULL>.,0
1628,,0
1629,The,0
1630,verifier,0
1631,must,0
1632,be,0
1633,stored,0
1634,in,0
1635,stable,0
1636,storage,0
1637,to,0
1638,prevent,0
1639,erroneous,0
1640,failure,0
1641,on,0
1642,retransmission,0
1643,of,0
1644,the,0
1645,request,0
1646,<NULL>.,0
1647,,0
1648,It,0
1649,is,0
1650,assumed,0
1651,that,0
1652,an,0
1653,exclusive,0
1654,create,0
1655,is,0
1656,being,0
1657,performed,0
1658,because,0
1659,exclusive,0
1660,semantics,0
1661,are,0
1662,critical,0
1663,to,0
1664,the,0
1665,application,0
1666,<NULL>.,0
1667,,0
1668,Because,0
1669,of,0
1670,the,0
1671,expected,0
1672,"usage,",0
1673,exclusive,0
1674,create,0
1675,does,0
1676,not,0
1677,rely,0
1678,solely,0
1679,on,0
1680,the,0
1681,normally,0
1682,volatile,0
1683,duplicate,0
1684,request,0
1685,cache,0
1686,for,0
1687,storage,0
1688,of,0
1689,the,0
1690,verifier,0
1691,<NULL>.,0
1692,,0
1693,The,0
1694,duplicate,0
1695,request,0
1696,cache,0
1697,in,0
1698,volatile,0
1699,storage,0
1700,does,0
1701,not,0
1702,survive,0
1703,a,0
1704,crash,0
1705,and,0
1706,may,0
1707,actually,0
1708,flush,0
1709,on,0
1710,a,0
1711,long,0
1712,network,0
1713,"partition,",0
1714,opening,0
1715,failure,0
1716,windows,0
1717,<NULL>.,0
1718,In,0
1719,the,0
1720,UNIX,0
1721,local,0
1722,file,0
1723,system,0
1724,"environment,",0
1725,the,0
1726,expected,0
1727,storage,0
1728,location,0
1729,for,0
1730,the,0
1731,verifier,0
1732,on,0
1733,creation,0
1734,is,0
1735,the,0
1736,metadata,0
1737,(timestamps),0
1738,of,0
1739,the,0
1740,object,0
1741,<NULL>.,0
1742,,0
1743,For,0
1744,this,0
1745,"reason,",0
1746,an,0
1747,exclusive,0
1748,object,0
1749,create,0
1750,may,0
1751,not,0
1752,include,0
1753,initial,0
1754,attributes,0
1755,because,0
1756,the,0
1757,server,0
1758,would,0
1759,have,0
1760,nowhere,0
1761,to,0
1762,store,0
1763,the,0
1764,verifier,0
1765,If,0
1766,the,0
1767,server,0
1768,cannot,0
1769,support,0
1770,these,0
1771,exclusive,0
1772,create,0
1773,"semantics,",0
1774,possibly,0
1775,because,0
1776,of,0
1777,the,0
1778,requirement,0
1779,to,0
1780,commit,0
1781,the,0
1782,verifier,0
1783,to,0
1784,stable,0
1785,"storage,",0
1786,it,0
1787,should,0
1788,fail,0
1789,the,0
1790,OPEN,0
1791,request,0
1792,with,0
1793,the,0
1794,error,0
1795,NFS4ERR_NOTSUPP,0
1796,During,0
1797,an,0
1798,exclusive,0
1799,CREATE,0
1800,"request,",0
1801,if,0
1802,the,0
1803,object,0
1804,already,0
1805,"exists,",0
1806,the,0
1807,server,0
1808,reconstructs,0
1809,the,0
1810,object's,0
1811,verifier,0
1812,and,0
1813,compares,0
1814,it,0
1815,with,0
1816,the,0
1817,verifier,0
1818,in,0
1819,the,0
1820,request,0
1821,<NULL>.,0
1822,,0
1823,If,0
1824,they,0
1825,"match,",0
1826,the,0
1827,server,0
1828,treats,0
1829,the,0
1830,request,0
1831,as,0
1832,a,0
1833,success,0
1834,<NULL>.,0
1835,,0
1836,The,0
1837,request,0
1838,is,0
1839,presumed,0
1840,to,0
1841,be,0
1842,a,0
1843,duplicate,0
1844,of,0
1845,an,0
1846,"earlier,",0
1847,successful,0
1848,request,0
1849,for,0
1850,which,0
1851,the,0
1852,reply,0
1853,was,0
1854,lost,0
1855,and,0
1856,that,0
1857,the,0
1858,server,0
1859,duplicate,0
1860,request,0
1861,cache,0
1862,mechanism,0
1863,did,0
1864,not,0
