,entity,tag,Sentence #
403,the,0,17
404,verifier,0,17
405,<NULL>.,0,17
406,If,0,18
407,the,0,18
408,server,0,18
409,uses,0,18
410,an,0,18
411,attribute,0,18
412,to,0,18
413,store,0,18
414,the,0,18
415,exclusive,0,18
416,create,0,18
417,verifier,0,18
418,it,0,18
419,will,0,18
420,signify,0,18
421,which,0,18
422,attribute,0,18
423,was,0,18
424,used,0,18
425,by,0,18
426,setting,0,18
427,the,0,18
428,appropriate,0,18
429,bit,0,18
430,in,0,18
431,the,0,18
432,attribute,0,18
433,mask,0,18
434,that,0,18
435,is,0,18
436,returned,0,18
437,in,0,18
438,the,0,18
439,results,0,18
440,For,0,18
441,the,0,18
442,target,0,18
443,directory,0,18
444,the,0,18
445,server,0,18
446,returns,0,18
447,change_info4,0,18
448,information,0,18
449,in,0,18
450,cinfo,0,18
451,<NULL>.,0,18
452,With,0,19
453,the,0,19
454,atomic,0,19
455,field,0,19
456,of,0,19
457,the,0,19
458,change_info4,0,19
459,struct,0,19
460,the,0,19
461,server,0,19
462,will,0,19
463,indicate,0,19
464,if,0,19
465,the,0,19
466,before,0,19
467,and,0,19
468,after,0,19
469,change,0,19
470,attributes,0,19
471,were,0,19
472,obtained,0,19
473,atomically,0,19
474,with,0,19
475,respect,0,19
476,to,0,19
477,the,0,19
478,link,0,19
479,creation,0,19
480,<NULL>.,0,19
481,Upon,0,20
482,successful,0,20
483,creation,0,20
484,the,0,20
485,current,0,20
486,filehandle,0,20
487,is,0,20
488,replaced,0,20
489,by,0,20
490,that,0,20
491,of,0,20
492,the,0,20
493,new,0,20
494,object,0,20
495,The,0,20
496,OPEN,0,20
497,operation,0,20
498,provides,0,20
499,for,0,20
500,Windows,0,20
501,share,0,20
502,reservation,0,20
503,capability,0,20
504,with,0,20
505,the,0,20
506,use,0,20
507,of,0,20
508,the,0,20
509,share_access,0,20
510,and,0,20
511,share_deny,0,20
512,fields,0,20
513,of,0,20
514,the,0,20
515,OPEN,0,20
516,arguments,0,20
517,<NULL>.,0,20
518,The,0,21
519,client,0,21
520,specifies,0,21
521,at,0,21
522,OPEN,0,21
523,the,0,21
524,required,0,21
525,share_access,0,21
526,and,0,21
527,share_deny,0,21
528,modes,0,21
529,<NULL>.,0,21
530,For,0,22
531,clients,0,22
532,that,0,22
533,do,0,22
534,not,0,22
535,directly,0,22
536,support,0,22
537,SHAREs,0,22
538,i.e.,0,22
539,UNIX,0,22
540,the,0,22
541,expected,0,22
542,deny,0,22
543,value,0,22
544,is,0,22
545,DENY_NONE,0,22
546,<NULL>.,0,22
547,In,0,23
548,the,0,23
549,case,0,23
550,that,0,23
551,there,0,23
552,is,0,23
553,an,0,23
554,existing,0,23
555,share,0,23
556,reservation,0,23
557,that,0,23
558,conflicts,0,23
559,with,0,23
560,the,0,23
561,OPEN,0,23
562,request,0,23
563,the,0,23
564,server,0,23
565,returns,0,23
566,the,0,23
567,error,0,23
568,NFS4ERR_SHARE_DENIED,0,23
569,<NULL>.,0,23
570,For,0,24
571,a,0,24
572,complete,0,24
573,SHARE,0,24
574,request,0,24
575,the,0,24
576,client,0,24
577,must,0,24
578,provide,0,24
579,values,0,24
580,for,0,24
581,the,0,24
582,owner,0,24
583,and,0,24
584,seqid,0,24
585,fields,0,24
586,for,0,24
587,the,0,24
588,OPEN,0,24
589,argument,0,24
590,<NULL>.,0,24
591,For,0,25
592,additional,0,25
593,discussion,0,25
594,of,0,25
595,share,0,25
596,semantics,0,25
597,see,0,25
598,Section,0,25
599,9.9,0,25
600,In,0,25
601,the,0,25
602,case,0,25
603,that,0,25
604,the,0,25
605,client,0,25
606,is,0,25
607,recovering,0,25
608,state,0,25
609,from,0,25
610,a,0,25
611,server,0,25
612,failure,0,25
613,the,0,25
614,claim,0,25
615,field,0,25
616,of,0,25
617,the,0,25
618,OPEN,0,25
619,argument,0,25
620,is,0,25
621,used,0,25
622,to,0,25
623,signify,0,25
624,that,0,25
625,the,0,25
626,request,0,25
627,is,0,25
628,meant,0,25
629,to,0,25
630,reclaim,0,25
631,state,0,25
632,previously,0,25
633,held,0,25
634,<NULL>.,0,25
635,The,0,26
636,claim,0,26
637,field,0,26
638,of,0,26
639,the,0,26
640,OPEN,0,26
641,argument,0,26
642,is,0,26
643,used,0,26
644,to,0,26
645,specify,0,26
646,the,0,26
647,file,0,26
648,to,0,26
649,be,0,26
650,opened,0,26
651,and,0,26
652,the,0,26
653,state,0,26
654,information,0,26
655,that,0,26
656,the,0,26
657,client,0,26
658,claims,0,26
659,to,0,26
660,possess,0,26
661,<NULL>.,0,26
662,There,0,27
663,are,0,27
664,four,0,27
665,basic,0,27
666,claim,0,27
667,types,0,27
668,that,0,27
669,cover,0,27
670,the,0,27
671,various,0,27
672,situations,0,27
673,for,0,27
674,an,0,27
675,OPEN,0,27
676,<NULL>.,0,27
677,They,0,28
678,are,0,28
679,as,0,28
680,CLAIM_NULL:,0,28
681,For,0,28
682,the,0,28
683,client,0,28
684,this,0,28
685,is,0,28
686,a,0,28
687,new,0,28
688,OPEN,0,28
689,request,0,28
690,and,0,28
691,there,0,28
692,is,0,28
693,no,0,28
694,previous,0,28
695,state,0,28
696,associated,0,28
697,with,0,28
698,the,0,28
699,file,0,28
700,for,0,28
701,the,0,28
702,client,0,28
703,CLAIM_PREVIOUS:,0,28
704,The,0,28
705,client,0,28
706,is,0,28
707,claiming,0,28
708,basic,0,28
709,OPEN,0,28
710,state,0,28
711,for,0,28
712,a,0,28
713,file,0,28
714,that,0,28
715,was,0,28
716,held,0,28
717,previous,0,28
718,to,0,28
719,a,0,28
720,server,0,28
721,reboot,0,28
722,<NULL>.,0,28
723,This,0,29
724,is,0,29
725,generally,0,29
726,used,0,29
727,when,0,29
728,a,0,29
729,server,0,29
730,is,0,29
731,returning,0,29
732,persistent,0,29
733,filehandles;,0,29
734,the,0,29
735,client,0,29
736,may,0,29
737,not,0,29
738,have,0,29
739,the,0,29
740,filename,0,29
741,to,0,29
742,reclaim,0,29
743,the,0,29
744,OPEN,0,29
745,CLAIM_DELEGATE_CUR:,0,29
746,The,0,29
747,client,0,29
748,is,0,29
749,claiming,0,29
750,a,0,29
751,delegation,0,29
752,for,0,29
753,OPEN,0,29
754,as,0,29
755,granted,0,29
756,by,0,29
757,the,0,29
758,server,0,29
759,<NULL>.,0,29
760,This,0,30
761,is,0,30
762,generally,0,30
763,done,0,30
764,as,0,30
765,part,0,30
766,of,0,30
767,recalling,0,30
768,a,0,30
769,delegation,0,30
770,CLAIM_DELEGATE_PREV:,0,30
771,The,0,30
772,client,0,30
773,is,0,30
774,claiming,0,30
775,a,0,30
776,delegation,0,30
777,granted,0,30
778,to,0,30
779,a,0,30
780,previous,0,30
781,client,0,30
782,instance,0,30
783,<NULL>.,0,30
784,This,0,31
785,claim,0,31
786,type,0,31
787,is,0,31
788,for,0,31
789,use,0,31
790,after,0,31
791,a,0,31
792,SETCLIENTID_CONFIRM,0,31
793,and,0,31
794,before,0,31
795,the,0,31
796,corresponding,0,31
797,DELEGPURGE,0,31
798,in,0,31
799,two,0,31
800,situations:,0,31
801,after,0,31
802,a,0,31
803,client,0,31
804,reboot,0,31
805,and,0,31
806,after,0,31
807,a,0,31
808,lease,0,31
809,expiration,0,31
810,that,0,31
811,resulted,0,31
812,in,0,31
813,loss,0,31
814,of,0,31
815,all,0,31
816,lock,0,31
817,state,0,31
818,<NULL>.,0,31
819,The,0,32
820,server,0,32
821,MAY,0,32
822,support,0,32
823,CLAIM_DELEGATE_PREV,0,32
824,<NULL>.,0,32
825,If,0,33
826,it,0,33
827,does,0,33
828,support,0,33
829,CLAIM_DELEGATE_PREV,0,33
830,SETCLIENTID_CONFIRM,0,33
831,MUST,0,33
832,NOT,0,33
833,remove,0,33
834,the,0,33
835,client's,0,33
836,delegation,0,33
837,state,0,33
838,and,0,33
839,the,0,33
840,server,0,33
841,MUST,0,33
842,support,0,33
843,the,0,33
844,DELEGPURGE,0,33
845,operation,0,33
846,The,0,33
847,following,0,33
848,errors,0,33
849,apply,0,33
850,to,0,33
851,use,0,33
852,of,0,33
853,the,0,33
854,CLAIM_DELEGATE_PREV,0,33
855,claim,0,33
856,o,0,33
857,NFS4ERR_NOTSUPP,0,33
858,is,0,33
859,returned,0,33
860,if,0,33
861,the,0,33
862,server,0,33
863,does,0,33
864,not,0,33
865,support,0,33
866,this,0,33
867,claim,0,33
868,type,0,33
869,o,0,33
870,NFS4ERR_INVAL,0,33
871,is,0,33
872,returned,0,33
873,if,0,33
874,the,0,33
875,reclaim,0,33
876,is,0,33
877,done,0,33
878,at,0,33
879,an,0,33
880,inappropriate,0,33
881,time,0,33
882,e.g.,0,33
883,after,0,33
884,DELEGPURGE,0,33
885,has,0,33
886,been,0,33
887,done,0,33
888,o,0,33
889,NFS4ERR_BAD_RECLAIM,0,33
890,is,0,33
891,returned,0,33
892,if,0,33
893,the,0,33
894,other,0,33
895,error,0,33
896,conditions,0,33
897,do,0,33
898,not,0,33
899,apply,0,33
900,and,0,33
901,the,0,33
902,server,0,33
903,has,0,33
904,no,0,33
905,record,0,33
906,of,0,33
907,the,0,33
908,delegation,0,33
909,whose,0,33
910,reclaim,0,33
911,is,0,33
912,being,0,33
913,attempted,0,33
914,For,0,33
915,OPEN,0,33
916,requests,0,33
917,whose,0,33
918,claim,0,33
919,type,0,33
920,is,0,33
921,other,0,33
922,than,0,33
923,CLAIM_PREVIOUS,0,33
924,i.e.,0,33
925,requests,0,33
926,other,0,33
927,than,0,33
928,those,0,33
929,devoted,0,33
930,to,0,33
931,reclaiming,0,33
932,opens,0,33
933,after,0,33
934,a,0,33
935,server,0,33
936,reboot,0,33
937,that,0,33
938,reach,0,33
939,the,0,33
940,server,0,33
941,during,0,33
942,its,0,33
943,grace,0,33
944,or,0,33
945,lease,0,33
946,expiration,0,33
947,period,0,33
948,the,0,33
949,server,0,33
950,returns,0,33
951,an,0,33
952,error,0,33
953,of,0,33
954,NFS4ERR_GRACE,0,33
955,For,0,33
956,any,0,33
957,OPEN,0,33
958,request,0,33
959,the,0,33
960,server,0,33
961,may,0,33
962,return,0,33
963,an,0,33
964,open,0,33
965,delegation,0,33
966,which,0,33
967,allows,0,33
968,further,0,33
969,opens,0,33
970,and,0,33
971,closes,0,33
972,to,0,33
973,be,0,33
974,handled,0,33
975,locally,0,33
976,on,0,33
977,the,0,33
978,client,0,33
979,as,0,33
980,described,0,33
981,in,0,33
982,Section,0,33
983,10.4,0,33
984,<NULL>.,0,33
985,Note,0,34
986,that,0,34
987,delegation,0,34
988,is,0,34
989,up,0,34
990,to,0,34
991,the,0,34
992,server,0,34
993,to,0,34
994,decide,0,34
995,<NULL>.,0,34
996,The,0,35
997,client,0,35
998,should,0,35
999,never,0,35
1000,assume,0,35
1001,that,0,35
1002,delegation,0,35
1003,will,0,35
1004,or,0,35
1005,will,0,35
1006,not,0,35
1007,be,0,35
1008,granted,0,35
1009,in,0,35
1010,a,0,35
1011,particular,0,35
1012,instance,0,35
1013,<NULL>.,0,35
1014,It,0,36
1015,should,0,36
1016,always,0,36
1017,be,0,36
1018,prepared,0,36
1019,for,0,36
1020,either,0,36
1021,case,0,36
1022,<NULL>.,0,36
1023,A,0,37
1024,partial,0,37
1025,exception,0,37
1026,is,0,37
1027,the,0,37
1028,reclaim,0,37
1029,CLAIM_PREVIOUS,0,37
1030,case,0,37
1031,in,0,37
1032,which,0,37
1033,a,0,37
1034,delegation,0,37
1035,type,0,37
1036,is,0,37
1037,claimed,0,37
1038,<NULL>.,0,37
1039,In,0,38
1040,this,0,38
1041,case,0,38
1042,delegation,0,38
1043,will,0,38
1044,always,0,38
1045,be,0,38
1046,granted,0,38
1047,although,0,38
1048,the,0,38
1049,server,0,38
1050,may,0,38
1051,specify,0,38
1052,an,0,38
1053,immediate,0,38
1054,recall,0,38
1055,in,0,38
1056,the,0,38
1057,delegation,0,38
1058,structure,0,38
1059,The,0,38
1060,rflags,0,38
1061,returned,0,38
1062,by,0,38
1063,a,0,38
1064,successful,0,38
1065,OPEN,0,38
1066,allow,0,38
1067,the,0,38
1068,server,0,38
1069,to,0,38
1070,return,0,38
1071,information,0,38
1072,governing,0,38
1073,how,0,38
1074,the,0,38
1075,open,0,38
1076,file,0,38
1077,is,0,38
1078,to,0,38
1079,be,0,38
1080,handled,0,38
1081,OPEN4_RESULT_CONFIRM,0,38
1082,indicates,0,38
1083,that,0,38
1084,the,0,38
1085,client,0,38
1086,MUST,0,38
1087,execute,0,38
1088,an,0,38
1089,OPEN_CONFIRM,0,38
1090,operation,0,38
1091,before,0,38
1092,using,0,38
1093,the,0,38
1094,open,0,38
1095,file,0,38
1096,<NULL>.,0,38
1097,OPEN4_RESULT_LOCKTYPE_POSIX,0,39
1098,indicates,0,39
1099,that,0,39
1100,the,0,39
1101,server's,0,39
1102,file,0,39
1103,locking,0,39
1104,behavior,0,39
1105,supports,0,39
1106,the,0,39
1107,complete,0,39
1108,set,0,39
1109,of,0,39
1110,POSIX,0,39
1111,locking,0,39
1112,techniques,0,39
1113,[fcntl],0,39
1114,<NULL>.,0,39
1115,From,0,40
1116,this,0,40
1117,the,0,40
1118,client,0,40
1119,can,0,40
1120,choose,0,40
1121,to,0,40
1122,manage,0,40
1123,file,0,40
1124,locking,0,40
1125,state,0,40
1126,in,0,40
1127,such,0,40
1128,a,0,40
1129,way,0,40
1130,as,0,40
1131,to,0,40
1132,handle,0,40
1133,a,0,40
1134,mismatch,0,40
1135,of,0,40
1136,file,0,40
1137,locking,0,40
1138,management,0,40
1139,If,0,40
1140,the,0,40
1141,component,0,40
1142,is,0,40
1143,of,0,40
1144,zero,0,40
1145,length,0,40
1146,NFS4ERR_INVAL,0,40
1147,will,0,40
1148,be,0,40
1149,returned,0,40
1150,<NULL>.,0,40
1151,The,0,41
1152,component,0,41
1153,is,0,41
1154,also,0,41
1155,subject,0,41
1156,to,0,41
1157,the,0,41
1158,normal,0,41
1159,UTF-8,0,41
1160,character,0,41
1161,support,0,41
1162,and,0,41
1163,name,0,41
1164,checks,0,41
1165,<NULL>.,0,41
1166,See,0,42
1167,Section,0,42
1168,12.7,0,42
1169,for,0,42
1170,further,0,42
1171,discussion,0,42
1172,When,0,42
1173,an,0,42
1174,OPEN,0,42
1175,is,0,42
1176,done,0,42
1177,and,0,42
1178,the,0,42
1179,specified,0,42
1180,open-owner,0,42
1181,already,0,42
1182,has,0,42
1183,the,0,42
1184,resulting,0,42
1185,filehandle,0,42
1186,open,0,42
1187,the,0,42
1188,result,0,42
1189,is,0,42
1190,to,0,42
1191,"""OR""",0,42
1192,together,0,42
1193,the,0,42
1194,new,0,42
1195,share,0,42
1196,and,0,42
1197,deny,0,42
1198,status,0,42
1199,together,0,42
1200,with,0,42
1201,the,0,42
1202,existing,0,42
1203,status,0,42
1204,<NULL>.,0,42
1205,In,0,43
1206,this,0,43
1207,case,0,43
1208,only,0,43
1209,a,0,43
1210,single,0,43
1211,CLOSE,0,43
1212,need,0,43
1213,be,0,43
1214,done,0,43
1215,even,0,43
1216,though,0,43
1217,multiple,0,43
1218,OPENs,0,43
1219,were,0,43
1220,completed,0,43
1221,<NULL>.,0,43
1222,When,0,44
1223,such,0,44
1224,an,0,44
1225,OPEN,0,44
1226,is,0,44
1227,done,0,44
1228,checking,0,44
1229,of,0,44
1230,share,0,44
1231,reservations,0,44
1232,for,0,44
1233,the,0,44
1234,new,0,44
1235,OPEN,0,44
1236,proceeds,0,44
1237,normally,0,44
1238,with,0,44
1239,no,0,44
1240,exception,0,44
1241,for,0,44
1242,the,0,44
1243,existing,0,44
1244,OPEN,0,44
1245,held,0,44
1246,by,0,44
1247,the,0,44
1248,same,0,44
1249,owner,0,44
1250,<NULL>.,0,44
1251,In,0,45
1252,this,0,45
1253,case,0,45
1254,the,0,45
1255,stateid,0,45
1256,returned,0,45
1257,has,0,45
1258,an,0,45
1259,"""other""",0,45
1260,field,0,45
1261,that,0,45
1262,matches,0,45
1263,that,0,45
1264,of,0,45
1265,the,0,45
1266,previous,0,45
1267,open,0,45
1268,while,0,45
1269,the,0,45
1270,seqid,0,45
1271,field,0,45
1272,is,0,45
1273,incremented,0,45
1274,to,0,45
1275,reflect,0,45
1276,the,0,45
1277,changed,0,45
1278,status,0,45
1279,due,0,45
1280,to,0,45
1281,the,0,45
1282,new,0,45
1283,open,0,45
1284,Section,0,45
1285,9.1.4,0,45
1286,If,0,45
1287,the,0,45
1288,underlying,0,45
1289,file,0,45
1290,system,0,45
1291,at,0,45
1292,the,0,45
1293,server,0,45
1294,is,0,45
1295,only,0,45
1296,accessible,0,45
1297,in,0,45
1298,a,0,45
1299,read-only,0,45
1300,mode,0,45
1301,and,0,45
1302,the,0,45
1303,OPEN,0,45
1304,request,0,45
1305,has,0,45
1306,specified,0,45
1307,OPEN4_SHARE_ACCESS_WRITE,0,45
1308,or,0,45
1309,OPEN4_SHARE_ACCESS_BOTH,0,45
1310,the,0,45
1311,server,0,45
1312,will,0,45
1313,return,0,45
1314,NFS4ERR_ROFS,0,45
1315,to,0,45
1316,indicate,0,45
1317,a,0,45
1318,read-only,0,45
1319,file,0,45
1320,system,0,45
1321,As,0,45
1322,with,0,45
1323,the,0,45
1324,CREATE,0,45
1325,operation,0,45
1326,the,0,45
1327,server,0,45
1328,MUST,0,45
1329,derive,0,45
1330,the,0,45
1331,owner,0,45
1332,owner,0,45
1333,ACE,0,45
1334,group,0,45
1335,or,0,45
1336,group,0,45
1337,ACE,0,45
1338,if,0,45
1339,any,0,45
1340,of,0,45
1341,the,0,45
1342,four,0,45
1343,attributes,0,45
1344,are,0,45
1345,required,0,45
1346,and,0,45
1347,supported,0,45
1348,by,0,45
1349,the,0,45
1350,server's,0,45
1351,file,0,45
1352,system,0,45
1353,<NULL>.,0,45
1354,For,0,46
1355,an,0,46
1356,OPEN,0,46
1357,with,0,46
1358,the,0,46
1359,EXCLUSIVE4,0,46
1360,createmode,0,46
1361,the,0,46
1362,server,0,46
1363,has,0,46
1364,no,0,46
1365,choice,0,46
1366,since,0,46
1367,such,0,46
1368,OPEN,0,46
1369,calls,0,46
1370,do,0,46
1371,not,0,46
1372,include,0,46
1373,the,0,46
1374,createattrs,0,46
1375,field,0,46
1376,<NULL>.,0,46
1377,Conversely,0,47
1378,if,0,47
1379,createattrs,0,47
1380,is,0,47
1381,specified,0,47
1382,and,0,47
1383,includes,0,47
1384,owner,0,47
1385,or,0,47
1386,group,0,47
1387,or,0,47
1388,corresponding,0,47
1389,ACEs,0,47
1390,that,0,47
1391,the,0,47
1392,principal,0,47
1393,in,0,47
1394,the,0,47
1395,RPC's,0,47
1396,credentials,0,47
1397,does,0,47
1398,not,0,47
1399,have,0,47
1400,authorization,0,47
1401,to,0,47
1402,create,0,47
1403,files,0,47
1404,for,0,47
1405,then,0,47
1406,the,0,47
1407,server,0,47
1408,may,0,47
1409,return,0,47
1410,NFS4ERR_PERM,0,47
1411,In,0,47
1412,the,0,47
1413,case,0,47
1414,where,0,47
1415,an,0,47
1416,OPEN,0,47
1417,specifies,0,47
1418,a,0,47
1419,size,0,47
1420,of,0,47
1421,zero,0,47
1422,e.g.,0,47
1423,truncation,0,47
1424,and,0,47
1425,the,0,47
1426,file,0,47
1427,has,0,47
1428,named,0,47
1429,attributes,0,47
1430,the,0,47
1431,named,0,47
1432,attributes,0,47
1433,are,0,47
1434,left,0,47
1435,as,0,47
1436,is,0,47
1437,<NULL>.,0,47
1438,They,0,48
1439,are,0,48
1440,not,0,48
1441,removed,0,48
1442,16.16.6.,0,48
1443,The,0,48
1444,OPEN,0,48
1445,operation,0,48
1446,contains,0,48
1447,support,0,48
1448,for,0,48
1449,EXCLUSIVE4,0,48
1450,create,0,48
1451,<NULL>.,0,48
1452,The,0,49
1453,mechanism,0,49
1454,is,0,49
1455,similar,0,49
1456,to,0,49
1457,the,0,49
1458,support,0,49
1459,in,0,49
1460,NFSv3,0,49
1461,[RFC1813],0,49
1462,<NULL>.,0,49
1463,As,0,50
1464,in,0,50
1465,NFSv3,0,50
1466,this,0,50
1467,mechanism,0,50
1468,provides,0,50
1469,reliable,0,50
1470,exclusive,0,50
1471,creation,0,50
1472,<NULL>.,0,50
1473,Exclusive,0,51
1474,create,0,51
1475,is,0,51
1476,invoked,0,51
1477,when,0,51
1478,the,0,51
1479,how,0,51
1480,parameter,0,51
1481,is,0,51
1482,EXCLUSIVE4,0,51
1483,<NULL>.,0,51
1484,In,0,52
1485,this,0,52
