,entity,tag,Sentence #,POS
102,directory,Value,0,NN
103,the,0,0,DT
104,server,0,0,NN
105,will,0,0,MD
106,return,0,0,NN
107,EINVAL,Value,0,NN
108,NULL,Variable,0,NN
109,UNCHECKED4,Variable,0,NN
110,means,0,0,NNS
111,that,0,0,IN
112,the,0,0,DT
113,file,0,0,NN
114,should,0,0,MD
115,be,0,0,VB
116,created,0,0,VBN
117,if,0,0,IN
118,a,0,0,DT
119,file,0,0,NN
120,of,0,0,IN
121,that,0,0,IN
122,name,0,0,NN
123,does,0,0,VBZ
124,not,0,0,RB
125,exist,0,0,NN
126,and,0,0,CC
127,encountering,0,0,VBG
128,an,0,0,DT
129,existing,0,0,VBG
130,regular,0,0,JJ
131,file,0,0,NN
132,of,0,0,IN
133,that,0,0,IN
134,name,0,0,NN
135,is,0,0,VBZ
136,not,0,0,RB
137,an,0,0,DT
138,error,0,0,NN
139,NULL.,0,0,NNP
140,For,0,0,IN
141,this,0,0,DT
142,type,0,0,NN
143,of,0,0,IN
144,create,0,0,NN
145,createattrs,0,0,NN
146,specifies,0,0,NNS
147,the,0,0,DT
148,initial,0,0,JJ
149,set,0,0,NN
150,of,0,0,IN
151,attributes,0,0,NNS
152,for,0,0,IN
153,the,0,0,DT
154,file,0,0,NN
155,NULL.,0,0,NNP
156,The,0,0,DT
157,set,0,0,NN
158,of,0,0,IN
159,attributes,0,0,NNS
160,may,0,0,MD
161,include,0,0,NN
162,any,0,0,DT
163,writable,0,0,JJ
164,attribute,0,0,NN
165,valid,0,0,JJ
166,for,0,0,IN
167,regular,0,0,JJ
168,files,0,0,NNS
169,NULL.,0,0,NNP
170,When,0,0,WRB
171,an,0,0,DT
172,UNCHECKED4,Variable,0,NN
173,create,0,0,NN
174,encounters,0,0,NNS
175,an,0,0,DT
176,existing,Value,0,VBG
177,file,Value,0,NN
178,the,0,0,DT
179,attributes,Variable,0,NNS
180,specified,0,0,VBN
181,by,0,0,IN
182,createattrs,Value,0,NN
183,are,0,0,VBP
184,not,0,0,RB
185,used,0,0,VBN
186,except,0,0,IN
187,that,0,0,IN
188,when,0,0,WRB
189,a,0,0,DT
190,size,Variable,0,NN
191,of,0,0,IN
192,zero,Value,0,NN
193,is,0,0,VBZ
194,specified,0,0,VBN
195,the,0,0,DT
196,existing,Variable,0,VBG
197,file,Variable,0,NN
198,is,0,0,VBZ
199,truncated,0,0,VBN
200,NULL.,0,0,NNP
201,If,0,0,IN
202,GUARDED4,Variable,0,NN
203,is,0,0,VBZ
204,specified,0,0,VBN
205,the,0,0,DT
206,server,0,0,NN
207,checks,0,0,NNS
208,for,0,0,IN
209,the,0,0,DT
210,presence,0,0,NN
211,of,0,0,IN
212,a,0,0,DT
213,duplicate,0,0,NN
214,object,0,0,NN
215,by,0,0,IN
216,name,0,0,NN
217,before,0,0,IN
218,performing,0,0,VBG
219,the,0,0,DT
220,create,0,0,NN
221,NULL.,0,0,NNP
222,If,0,0,IN
223,a,0,0,DT
224,duplicate,Value,0,NN
225,exists,0,0,NNS
226,an,0,0,DT
227,error,0,0,NN
228,of,0,0,IN
229,NFS4ERR_EXIST,Value,0,NN
230,is,0,0,VBZ
231,returned,0,0,VBN
232,as,0,0,IN
233,the,0,0,DT
234,status,Variable,0,NN
235,NULL.,0,0,NNP
236,If,0,0,IN
237,the,0,0,DT
238,object,0,0,NN
239,does,0,0,VBZ
240,not,0,0,RB
241,exist,0,0,NN
242,the,0,0,DT
243,request,0,0,NN
244,is,0,0,VBZ
245,performed,0,0,VBN
246,as,0,0,IN
247,described,0,0,NN
248,for,0,0,IN
249,UNCHECKED4,0,0,NN
250,NULL.,0,0,NNP
251,For,0,0,IN
252,each,0,0,DT
253,of,0,0,IN
254,these,0,0,DT
255,cases,0,0,NNS
256,UNCHECKED4,Variable,0,NN
257,and,0,0,CC
258,GUARDED4,Variable,0,NN
259,,0,0,.
260,where,0,0,WRB
261,the,0,0,DT
262,operation,Variable,0,NN
263,is,0,0,VBZ
264,successful,Value,0,JJ
265,the,0,0,DT
266,server,0,0,NN
267,will,0,0,MD
268,return,0,0,NN
269,to,0,0,TO
270,the,0,0,DT
271,client,0,0,NN
272,an,0,0,DT
273,attribute,0,0,NN
274,mask,0,0,NN
275,signifying,0,0,VBG
276,which,0,0,WDT
277,attributes,0,0,NNS
278,were,0,0,VBD
279,successfully,0,0,RB
280,set,0,0,NN
281,for,0,0,IN
282,the,0,0,DT
283,object,0,0,NN
284,EXCLUSIVE4,Variable,0,NN
285,specifies,0,0,NNS
286,that,0,0,IN
287,the,0,0,DT
288,server,0,0,NN
289,is,0,0,VBZ
290,to,0,0,TO
291,follow,0,0,VB
292,exclusive,0,0,JJ
293,creation,0,0,NN
294,semantics,0,0,NNS
295,using,0,0,VBG
296,the,0,0,DT
297,verifier,0,0,NN
298,to,0,0,TO
299,ensure,0,0,VB
300,exclusive,0,0,JJ
301,creation,0,0,NN
302,of,0,0,IN
303,the,0,0,DT
304,target,0,0,NN
305,NULL.,0,0,NNP
306,The,0,0,DT
307,server,0,0,NN
308,should,0,0,MD
309,check,0,0,NN
310,for,0,0,IN
311,the,0,0,DT
312,presence,0,0,NN
313,of,0,0,IN
314,a,0,0,DT
315,duplicate,0,0,NN
316,object,0,0,NN
317,by,0,0,IN
318,name,0,0,NN
319,NULL.,0,0,NNP
320,If,0,0,IN
321,the,0,0,DT
322,object,Variable,0,NN
323,does,0,0,VBZ
324,not,0,0,RB
325,exist,0,0,NN
326,the,0,0,DT
327,server,0,0,NN
328,creates,0,0,NNS
329,the,0,0,DT
330,object,0,0,NN
331,and,0,0,CC
332,stores,0,0,NNS
333,the,0,0,DT
334,verifier,0,0,NN
335,with,0,0,IN
336,the,0,0,DT
337,object,0,0,NN
338,NULL.,0,0,NNP
339,If,0,0,IN
340,the,0,0,DT
341,object,Variable,0,NN
342,does,0,0,VBZ
343,exist,0,0,NN
344,and,0,0,CC
345,the,0,0,DT
346,stored,Variable,0,VBN
347,verifier,Variable,0,NN
348,matches,0,0,NNS
349,the,0,0,DT
350,verifier,Variable,0,NN
351,provided,Variable,0,VBN
352,by,Variable,0,IN
353,the,Variable,0,DT
354,client,Variable,0,NN
355,the,0,0,DT
356,server,0,0,NN
357,uses,0,0,NNS
358,the,0,0,DT
359,existing,Value,0,VBG
360,object,Value,0,NN
361,as,0,0,IN
362,the,0,0,DT
363,newly,Variable,0,RB
364,created,Variable,0,VBN
365,object,Variable,0,NN
366,NULL.,0,0,NNP
367,If,0,0,IN
368,the,0,0,DT
369,stored,Variable,0,VBN
370,verifier,Variable,0,NN
371,does,0,0,VBZ
372,not,0,0,RB
373,match,0,0,NN
374,then,0,0,RB
375,an,0,0,DT
376,error,0,0,NN
377,of,0,0,IN
378,NFS4ERR_EXIST,Value,0,NN
379,is,0,0,VBZ
380,returned,0,0,VBN
381,NULL,Variable,0,NN
382,No,0,0,DT
383,attributes,0,0,NNS
384,may,0,0,MD
385,be,0,0,VB
386,provided,0,0,VBN
387,in,0,0,IN
388,this,0,0,DT
389,case,0,0,NN
390,since,0,0,IN
391,the,0,0,DT
392,server,0,0,NN
393,may,0,0,MD
394,use,0,0,NN
395,an,0,0,DT
396,attribute,0,0,NN
397,of,0,0,IN
398,the,0,0,DT
399,target,0,0,NN
400,object,0,0,NN
401,to,0,0,TO
402,store,0,0,NN
403,the,0,0,DT
404,verifier,0,0,NN
405,NULL.,0,0,NNP
406,If,0,0,IN
407,the,0,0,DT
408,server,0,0,NN
409,uses,0,0,NNS
410,an,0,0,DT
411,attribute,0,0,NN
412,to,0,0,TO
413,store,0,0,NN
414,the,0,0,DT
415,exclusive,0,0,JJ
416,create,0,0,NN
417,verifier,0,0,NN
418,it,0,0,PRP
419,will,0,0,MD
420,signify,0,0,NN
421,which,0,0,WDT
422,attribute,0,0,NN
423,was,0,0,VBD
424,used,0,0,VBN
425,by,0,0,IN
426,setting,0,0,VBG
427,the,0,0,DT
428,appropriate,0,0,NN
429,bit,0,0,NN
430,in,0,0,IN
431,the,0,0,DT
432,attribute,0,0,NN
433,mask,0,0,NN
434,that,0,0,IN
435,is,0,0,VBZ
436,returned,0,0,VBN
437,in,0,0,IN
438,the,0,0,DT
439,results,0,0,NNS
440,For,0,0,IN
441,the,0,0,DT
442,target,0,0,NN
443,directory,0,0,NN
444,the,0,0,DT
445,server,0,0,NN
446,returns,0,0,NNS
447,change_info4,0,0,NN
448,information,0,0,NN
449,in,0,0,IN
450,cinfo,0,0,NN
451,NULL.,0,0,NNP
452,With,0,0,IN
453,the,0,0,DT
454,atomic,0,0,JJ
455,field,0,0,NN
456,of,0,0,IN
457,the,0,0,DT
458,change_info4,0,0,NN
459,struct,0,0,NN
460,the,0,0,DT
461,server,0,0,NN
462,will,0,0,MD
463,indicate,0,0,NN
464,if,0,0,IN
465,the,0,0,DT
466,before,0,0,IN
467,and,0,0,CC
468,after,0,0,IN
469,change,0,0,NN
470,attributes,0,0,NNS
471,were,0,0,VBD
472,obtained,0,0,VBN
473,atomically,0,0,RB
474,with,0,0,IN
475,respect,0,0,NN
476,to,0,0,TO
477,the,0,0,DT
478,link,0,0,NN
479,creation,0,0,NN
480,NULL.,0,0,NNP
481,Upon,0,0,IN
482,successful,0,0,JJ
483,creation,0,0,NN
484,the,0,0,DT
485,current,0,0,JJ
486,filehandle,0,0,NN
487,is,0,0,VBZ
488,replaced,0,0,VBN
489,by,0,0,IN
490,that,0,0,IN
491,of,0,0,IN
492,the,0,0,DT
493,new,0,0,JJ
494,object,0,0,NN
495,The,0,0,DT
496,OPEN,0,0,JJ
497,operation,0,0,NN
498,provides,0,0,VBZ
499,for,0,0,IN
500,Windows,0,0,NNS
501,share,0,0,NN
502,reservation,0,0,NN
503,capability,0,0,NN
504,with,0,0,IN
505,the,0,0,DT
506,use,0,0,NN
507,of,0,0,IN
508,the,0,0,DT
509,share_access,0,0,NN
510,and,0,0,CC
511,share_deny,0,0,NN
512,fields,0,0,NNS
513,of,0,0,IN
514,the,0,0,DT
515,OPEN,0,0,JJ
516,arguments,0,0,NNS
517,NULL.,0,0,NNP
518,The,0,0,DT
519,client,0,0,NN
520,specifies,0,0,NNS
521,at,0,0,IN
522,OPEN,0,0,JJ
523,the,0,0,DT
524,required,0,0,VBN
525,share_access,0,0,NN
526,and,0,0,CC
527,share_deny,0,0,NN
528,modes,0,0,NNS
529,NULL.,0,0,NNP
530,For,0,0,IN
531,clients,0,0,NNS
532,that,0,0,IN
533,do,0,0,VB
534,not,0,0,RB
535,directly,0,0,RB
536,support,0,0,NN
537,SHAREs,0,0,NN
538,i.e.,0,0,NN
539,UNIX,0,0,NN
540,the,0,0,DT
541,expected,0,0,VBN
542,deny,0,0,NN
543,value,0,0,NN
544,is,0,0,VBZ
545,DENY_NONE,0,0,NN
546,NULL.,0,0,NNP
547,In,0,0,IN
548,the,0,0,DT
549,case,0,0,NN
550,that,0,0,IN
551,there,0,0,RB
552,is,0,0,VBZ
553,an,0,0,DT
554,existing,0,0,VBG
555,share,0,0,NN
556,reservation,0,0,NN
557,that,0,0,IN
558,conflicts,0,0,NNS
559,with,0,0,IN
560,the,0,0,DT
561,OPEN,0,0,JJ
562,request,0,0,NN
563,the,0,0,DT
564,server,0,0,NN
565,returns,0,0,NNS
566,the,0,0,DT
567,error,0,0,NN
568,NFS4ERR_SHARE_DENIED,0,0,NN
569,NULL.,0,0,NNP
570,For,0,0,IN
571,a,0,0,DT
572,complete,0,0,JJ
573,SHARE,0,0,NN
574,request,0,0,NN
575,the,0,0,DT
576,client,0,0,NN
577,must,0,0,MD
578,provide,0,0,NN
579,values,0,0,NNS
580,for,0,0,IN
581,the,0,0,DT
582,owner,0,0,NN
583,and,0,0,CC
584,seqid,0,0,NN
585,fields,0,0,NNS
586,for,0,0,IN
587,the,0,0,DT
588,OPEN,0,0,JJ
589,argument,0,0,NN
590,NULL.,0,0,NNP
591,For,0,0,IN
592,additional,0,0,JJ
593,discussion,0,0,NN
594,of,0,0,IN
595,share,0,0,NN
596,semantics,0,0,NNS
597,see,0,0,VB
598,Section,0,0,NN
599,9.9,0,0,CD
600,In,0,0,IN
601,the,0,0,DT
602,case,0,0,NN
603,that,0,0,IN
604,the,0,0,DT
605,client,0,0,NN
606,is,0,0,VBZ
607,recovering,0,0,VBG
608,state,0,0,NN
609,from,0,0,IN
610,a,0,0,DT
611,server,0,0,NN
612,failure,0,0,NN
613,the,0,0,DT
614,claim,0,0,NN
615,field,0,0,NN
616,of,0,0,IN
617,the,0,0,DT
618,OPEN,0,0,JJ
619,argument,0,0,NN
620,is,0,0,VBZ
621,used,0,0,VBN
622,to,0,0,TO
623,signify,0,0,NN
624,that,0,0,IN
625,the,0,0,DT
626,request,0,0,NN
627,is,0,0,VBZ
628,meant,0,0,NN
629,to,0,0,TO
630,reclaim,0,0,NN
631,state,0,0,NN
632,previously,0,0,RB
633,held,0,0,NN
634,NULL.,0,0,NNP
635,The,0,0,DT
636,claim,0,0,NN
637,field,0,0,NN
638,of,0,0,IN
639,the,0,0,DT
640,OPEN,0,0,JJ
641,argument,0,0,NN
642,is,0,0,VBZ
643,used,0,0,VBN
644,to,0,0,TO
645,specify,0,0,NN
646,the,0,0,DT
647,file,0,0,NN
648,to,0,0,TO
649,be,0,0,VB
650,opened,0,0,VBN
651,and,0,0,CC
652,the,0,0,DT
653,state,0,0,NN
654,information,0,0,NN
655,that,0,0,IN
656,the,0,0,DT
657,client,0,0,NN
658,claims,0,0,NNS
659,to,0,0,TO
660,possess,0,0,NN
661,NULL.,0,0,NNP
662,There,0,0,EX
663,are,0,0,VBP
664,four,0,0,CD
665,basic,0,0,JJ
666,claim,0,0,NN
667,types,0,0,NNS
668,that,0,0,IN
669,cover,0,0,NN
670,the,0,0,DT
671,various,0,0,JJ
672,situations,0,0,NNS
673,for,0,0,IN
674,an,0,0,DT
675,OPEN,0,0,JJ
676,NULL.,0,0,NNP
677,They,0,0,PRP
678,are,0,0,VBP
679,as,0,0,IN
680,CLAIM_NULL:,0,0,NN
681,For,0,0,IN
682,the,0,0,DT
683,client,0,0,NN
684,this,0,0,DT
685,is,0,0,VBZ
686,a,0,0,DT
687,new,0,0,JJ
688,OPEN,0,0,JJ
689,request,0,0,NN
690,and,0,0,CC
691,there,0,0,RB
692,is,0,0,VBZ
693,no,0,0,DT
694,previous,0,0,JJ
695,state,0,0,NN
696,associated,0,0,VBN
697,with,0,0,IN
698,the,0,0,DT
699,file,0,0,NN
700,for,0,0,IN
701,the,0,0,DT
702,client,0,0,NN
703,CLAIM_PREVIOUS:,0,0,NN
704,The,0,0,DT
705,client,0,0,NN
706,is,0,0,VBZ
707,claiming,0,0,VBG
708,basic,0,0,JJ
709,OPEN,0,0,JJ
710,state,0,0,NN
711,for,0,0,IN
712,a,0,0,DT
713,file,0,0,NN
714,that,0,0,IN
715,was,0,0,VBD
716,held,0,0,NN
717,previous,0,0,JJ
718,to,0,0,TO
719,a,0,0,DT
720,server,0,0,NN
721,reboot,0,0,NN
722,NULL.,0,0,NNP
723,This,0,0,DT
724,is,0,0,VBZ
725,generally,0,0,RB
726,used,0,0,VBN
727,when,0,0,WRB
728,a,0,0,DT
729,server,0,0,NN
730,is,0,0,VBZ
731,returning,0,0,VBG
732,persistent,0,0,NN
733,filehandles;,0,0,NNS
734,the,0,0,DT
735,client,0,0,NN
736,may,0,0,MD
737,not,0,0,RB
738,have,0,0,VB
739,the,0,0,DT
740,filename,0,0,NN
741,to,0,0,TO
742,reclaim,0,0,NN
743,the,0,0,DT
744,OPEN,0,0,JJ
745,CLAIM_DELEGATE_CUR:,0,0,NN
746,The,0,0,DT
747,client,0,0,NN
748,is,0,0,VBZ
749,claiming,0,0,VBG
750,a,0,0,DT
751,delegation,0,0,NN
752,for,0,0,IN
753,OPEN,0,0,JJ
754,as,0,0,IN
755,granted,0,0,VBN
756,by,0,0,IN
757,the,0,0,DT
758,server,0,0,NN
759,NULL.,0,0,NNP
760,This,0,0,DT
761,is,0,0,VBZ
762,generally,0,0,RB
763,done,0,0,VBN
764,as,0,0,IN
765,part,0,0,NN
766,of,0,0,IN
767,recalling,0,0,VBG
768,a,0,0,DT
769,delegation,0,0,NN
770,CLAIM_DELEGATE_PREV:,0,0,NN
771,The,0,0,DT
772,client,0,0,NN
773,is,0,0,VBZ
774,claiming,0,0,VBG
775,a,0,0,DT
776,delegation,0,0,NN
777,granted,0,0,VBN
778,to,0,0,TO
779,a,0,0,DT
780,previous,0,0,JJ
781,client,0,0,NN
782,instance,0,0,NN
783,NULL.,0,0,NNP
784,This,0,0,DT
785,claim,0,0,NN
786,type,0,0,NN
787,is,0,0,VBZ
788,for,0,0,IN
789,use,0,0,NN
790,after,0,0,IN
791,a,0,0,DT
792,SETCLIENTID_CONFIRM,0,0,NN
793,and,0,0,CC
794,before,0,0,IN
795,the,0,0,DT
796,corresponding,0,0,VBG
797,DELEGPURGE,0,0,NN
798,in,0,0,IN
799,two,0,0,CD
800,situations:,0,0,NNS
801,after,0,0,IN
802,a,0,0,DT
803,client,0,0,NN
804,reboot,0,0,NN
805,and,0,0,CC
806,after,0,0,IN
807,a,0,0,DT
808,lease,0,0,NN
809,expiration,0,0,NN
810,that,0,0,IN
811,resulted,0,0,VBD
812,in,0,0,IN
813,loss,0,0,NN
814,of,0,0,IN
815,all,0,0,DT
816,lock,0,0,NN
817,state,0,0,NN
818,NULL.,0,0,NNP
819,The,0,0,DT
820,server,0,0,NN
821,MAY,0,0,NNP
822,support,0,0,NN
823,CLAIM_DELEGATE_PREV,0,0,NN
824,NULL.,0,0,NNP
825,If,0,0,IN
826,it,0,0,PRP
827,does,0,0,VBZ
828,support,0,0,NN
829,CLAIM_DELEGATE_PREV,0,0,NN
830,SETCLIENTID_CONFIRM,0,0,NN
831,MUST,0,0,NN
832,NOT,0,0,NN
833,remove,0,0,VB
834,the,0,0,DT
835,client's,0,0,NN
836,delegation,0,0,NN
837,state,0,0,NN
838,and,0,0,CC
839,the,0,0,DT
840,server,0,0,NN
841,MUST,0,0,NN
842,support,0,0,NN
843,the,0,0,DT
844,DELEGPURGE,0,0,NN
845,operation,0,0,NN
846,The,0,0,DT
847,following,0,0,VBG
848,errors,0,0,NNS
849,apply,0,0,VB
850,to,0,0,TO
851,use,0,0,NN
852,of,0,0,IN
853,the,0,0,DT
854,CLAIM_DELEGATE_PREV,0,0,NN
855,claim,0,0,NN
856,o,0,0,NN
857,NFS4ERR_NOTSUPP,0,0,NN
858,is,0,0,VBZ
859,returned,0,0,VBN
860,if,0,0,IN
861,the,0,0,DT
862,server,0,0,NN
863,does,0,0,VBZ
864,not,0,0,RB
865,support,0,0,NN
866,this,0,0,DT
867,claim,0,0,NN
868,type,0,0,NN
869,o,0,0,NN
870,NFS4ERR_INVAL,0,0,NN
871,is,0,0,VBZ
872,returned,0,0,VBN
873,if,0,0,IN
874,the,0,0,DT
875,reclaim,0,0,NN
876,is,0,0,VBZ
877,done,0,0,VBN
878,at,0,0,IN
879,an,0,0,DT
880,inappropriate,0,0,NN
881,time,0,0,NN
882,e.g.,0,0,NN
883,after,0,0,IN
884,DELEGPURGE,0,0,NN
885,has,0,0,VBZ
886,been,0,0,VBN
887,done,0,0,VBN
888,o,0,0,NN
889,NFS4ERR_BAD_RECLAIM,0,0,NN
890,is,0,0,VBZ
891,returned,0,0,VBN
892,if,0,0,IN
893,the,0,0,DT
894,other,0,0,JJ
895,error,0,0,NN
896,conditions,0,0,NNS
897,do,0,0,VB
898,not,0,0,RB
899,apply,0,0,VB
900,and,0,0,CC
901,the,0,0,DT
902,server,0,0,NN
903,has,0,0,VBZ
904,no,0,0,DT
905,record,0,0,NN
906,of,0,0,IN
907,the,0,0,DT
908,delegation,0,0,NN
909,whose,0,0,WP$
910,reclaim,0,0,NN
911,is,0,0,VBZ
912,being,0,0,VBG
913,attempted,0,0,VBN
914,For,0,0,IN
915,OPEN,0,0,JJ
916,requests,0,0,NNS
917,whose,0,0,WP$
918,claim,0,0,NN
919,type,0,0,NN
920,is,0,0,VBZ
921,other,0,0,JJ
922,than,0,0,IN
923,CLAIM_PREVIOUS,0,0,NN
924,i.e.,0,0,NN
925,requests,0,0,NNS
926,other,0,0,JJ
927,than,0,0,IN
928,those,0,0,DT
929,devoted,0,0,VBN
930,to,0,0,TO
931,reclaiming,0,0,VBG
932,opens,0,0,NNS
933,after,0,0,IN
934,a,0,0,DT
935,server,0,0,NN
936,reboot,0,0,NN
937,that,0,0,IN
938,reach,0,0,NN
939,the,0,0,DT
940,server,0,0,NN
941,during,0,0,IN
942,its,0,0,PRP$
943,grace,0,0,NN
944,or,0,0,CC
945,lease,0,0,NN
946,expiration,0,0,NN
947,period,0,0,NN
948,the,0,0,DT
949,server,0,0,NN
950,returns,0,0,NNS
951,an,0,0,DT
952,error,0,0,NN
953,of,0,0,IN
954,NFS4ERR_GRACE,0,0,NN
955,For,0,0,IN
956,any,0,0,DT
957,OPEN,0,0,JJ
958,request,0,0,NN
959,the,0,0,DT
960,server,0,0,NN
961,may,0,0,MD
962,return,0,0,NN
963,an,0,0,DT
964,open,0,0,JJ
965,delegation,0,0,NN
966,which,0,0,WDT
967,allows,0,0,NNS
968,further,0,0,RB
969,opens,0,0,NNS
970,and,0,0,CC
971,closes,0,0,NNS
972,to,0,0,TO
973,be,0,0,VB
974,handled,0,0,VBN
975,locally,0,0,RB
976,on,0,0,IN
977,the,0,0,DT
978,client,0,0,NN
979,as,0,0,IN
980,described,0,0,NN
981,in,0,0,IN
982,Section,0,0,NN
983,10.4,0,0,CD
984,NULL.,0,0,NNP
985,Note,0,0,NN
986,that,0,0,IN
987,delegation,0,0,NN
988,is,0,0,VBZ
989,up,0,0,RB
990,to,0,0,TO
991,the,0,0,DT
992,server,0,0,NN
993,to,0,0,TO
994,decide,0,0,NN
995,NULL.,0,0,NNP
996,The,0,0,DT
997,client,0,0,NN
998,should,0,0,MD
999,never,0,0,RB
1000,assume,0,0,VB
1001,that,0,0,IN
1002,delegation,0,0,NN
1003,will,0,0,MD
1004,or,0,0,CC
1005,will,0,0,MD
1006,not,0,0,RB
1007,be,0,0,VB
1008,granted,0,0,VBN
1009,in,0,0,IN
1010,a,0,0,DT
1011,particular,0,0,JJ
1012,instance,0,0,NN
1013,NULL.,0,0,NNP
1014,It,0,0,PRP
1015,should,0,0,MD
1016,always,0,0,RB
1017,be,0,0,VB
1018,prepared,0,0,JJ
1019,for,0,0,IN
1020,either,0,0,DT
1021,case,0,0,NN
1022,NULL.,0,0,NNP
1023,A,0,0,DT
1024,partial,0,0,JJ
1025,exception,0,0,NN
1026,is,0,0,VBZ
1027,the,0,0,DT
1028,reclaim,0,0,NN
1029,CLAIM_PREVIOUS,0,0,NN
1030,case,0,0,NN
1031,in,0,0,IN
1032,which,0,0,WDT
1033,a,0,0,DT
1034,delegation,0,0,NN
1035,type,0,0,NN
1036,is,0,0,VBZ
1037,claimed,0,0,NN
1038,NULL.,0,0,NNP
1039,In,0,0,IN
1040,this,0,0,DT
1041,case,0,0,NN
1042,delegation,0,0,NN
1043,will,0,0,MD
1044,always,0,0,RB
1045,be,0,0,VB
1046,granted,0,0,VBN
1047,although,0,0,IN
1048,the,0,0,DT
1049,server,0,0,NN
1050,may,0,0,MD
1051,specify,0,0,NN
1052,an,0,0,DT
1053,immediate,0,0,NN
1054,recall,0,0,NN
1055,in,0,0,IN
1056,the,0,0,DT
1057,delegation,0,0,NN
1058,structure,0,0,NN
1059,The,0,0,DT
1060,rflags,0,0,NNS
1061,returned,0,0,VBN
1062,by,0,0,IN
1063,a,0,0,DT
1064,successful,0,0,JJ
1065,OPEN,0,0,JJ
1066,allow,0,0,VB
1067,the,0,0,DT
1068,server,0,0,NN
1069,to,0,0,TO
1070,return,0,0,NN
1071,information,0,0,NN
1072,governing,0,0,VBG
1073,how,0,0,WRB
1074,the,0,0,DT
1075,open,0,0,JJ
1076,file,0,0,NN
1077,is,0,0,VBZ
1078,to,0,0,TO
1079,be,0,0,VB
1080,handled,0,0,VBN
1081,OPEN4_RESULT_CONFIRM,0,0,NN
1082,indicates,0,0,NNS
1083,that,0,0,IN
1084,the,0,0,DT
1085,client,0,0,NN
1086,MUST,0,0,NN
1087,execute,0,0,NN
1088,an,0,0,DT
1089,OPEN_CONFIRM,0,0,NN
1090,operation,0,0,NN
1091,before,0,0,IN
1092,using,0,0,VBG
1093,the,0,0,DT
1094,open,0,0,JJ
1095,file,0,0,NN
1096,NULL.,0,0,NNP
1097,OPEN4_RESULT_LOCKTYPE_POSIX,0,0,NN
1098,indicates,0,0,NNS
1099,that,0,0,IN
1100,the,0,0,DT
1101,server's,0,0,NN
1102,file,0,0,NN
1103,locking,0,0,VBG
1104,behavior,0,0,NN
1105,supports,0,0,NNS
1106,the,0,0,DT
1107,complete,0,0,JJ
1108,set,0,0,NN
1109,of,0,0,IN
1110,POSIX,0,0,NN
1111,locking,0,0,VBG
1112,techniques,0,0,NNS
1113,[fcntl],0,0,JJ
1114,NULL.,0,0,NNP
1115,From,0,0,IN
1116,this,0,0,DT
1117,the,0,0,DT
1118,client,0,0,NN
1119,can,0,0,MD
1120,choose,0,0,NN
1121,to,0,0,TO
